Food,Calories,Protein,Fat,Carbohydrates,Nutrition Density
pink salmon raw,404,65.2,14.0,0.0,102.8
yellowfin tuna raw,31,6.9,0.1,0.0,8.322
mackerel raw,230,20.8,15.6,0.0,52.063
turbot raw,388,65.5,12.0,0.0,159.322
cusk cooked,106,23.1,0.8,0.0,37.306
atlantic croaker raw,82,14.0,2.5,0.0,28.709
sucker cooked,148,26.6,3.7,0.0,144.006
spot raw,79,11.8,3.1,0.0,24.113
drum cooked,236,34.6,9.7,0.0,166.292
crayfish raw,3,0.6,0.048,0.0,1.788
tilefish cooked,441,73.5,14.1,0.0,166.521
bluefish cooked,186,30.1,6.4,0.0,47.9
grouper cooked,238,50.2,2.6,0.0,97.6
sheepshead raw,257,48.1,5.7,0.0,104.93
herring kippered,87,9.8,4.9,0.0,49.314
grouper raw,238,50.2,2.6,0.0,125.1
ocean perch cooked,48,9.3,0.9,0.0,10.368
ling raw,168,36.7,1.2,0.0,104.862
lingcod cooked,329,68.4,4.1,0.0,128.139
florida pompano raw,184,20.7,10.6,0.0,56.69
rockfish cooked,162,33.1,2.4,0.0,35.955
seatrout cooked,247,39.9,8.6,0.0,90.142
sockeye salmon raw,562,84.4,22.2,0.0,148.1
swordfish cooked,182,24.9,8.4,0.0,34.203
american shad raw,362,31.2,25.3,0.0,144.868
sardine canned in oil,310,36.7,17.1,0.0,627.452
anchovy canned in oil,8,1.2,0.4,0.0,11.106
salmon canned,520,79.1,20.3,0.0,1020.882
sardines in tomato sauce canned,165,18.6,9.3,0.5,244.978
sockeye salmon canned,563,79.5,24.9,0.0,888.6
tuna canned,102,18.9,2.4,0.0,33.32
pink salmon canned,530,80.9,20.4,0.0,987.651
cod canned,328,71.0,2.7,0.0,143.814
eastern oyster canned,110,11.4,4.0,6.3,113.7
chum salmon canned,520,79.1,20.3,0.0,1020.805
tuna canned in oil,331,47.2,14.4,0.0,69.953
wild pink salmon oceans,320,0.0,16.0,0.0,16.0
shrimp canned,128,26.1,1.7,0.0,221.3
alaska king crab raw,144,31.5,1.0,0.0,124.608
scallops fried,64,2.6,3.2,6.4,15.698
shrimp cooked,7,1.3,0.092,0.013,6.398
clams fried,19,1.3,1.0,1.0,11.464
alaska king crab cooked,130,25.9,2.1,0.0,118.35
scallops cooked,11,2.1,0.058,0.5,2.732
squid fried,140,14.4,6.0,6.2,62.028
oyster raw,41,4.7,1.2,2.5,19.054
